,price_try,make,series,year,km,transmission,fuel,body_type,warranty,from_,wheel_drive,cylinder_number,torque_nm,engine_capacity_cc,engine_power_hp,max_power_rpm,min_power_rpm,acceleration_0to100_sec,max_speed_kmh,average_fuel_consumption_lt,painted_changed
14,1135000,Opel,Other Opel,2017,172000,Automatic,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,320,1598,136,3500,2000,10.9,203,5.1,Original
15,659000,Other,Other Other,2021,35000,Manual,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,250,1499,100,3500,1750,10.1,189,3.9,Painted or Changed
16,579900,Opel,Corsa,2009,60000,Manual,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,170,1248,75,4000,2250,14.5,163,4.6,Original
17,679500,Honda,Civic,2009,178000,Automatic,LPG & Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,152,1595,125,6500,4200,10.3,192,7.1,Painted or Changed
18,360000,Other,Other Other,2007,172000,Semiautomatic,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,3,210,1493,95,2500,1200,10.7,180,4.6,Original
19,1250000,Volkswagen,Other Volkswagen,2015,128000,Semiautomatic,Gasoline,Other,Warrantless,Dealer,Front-Wheel Drive,4,250,1395,150,5000,1500,8.9,218,5.6,Original
20,465000,Ford,Other Ford,2005,120000,Automatic,LPG & Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,146,1596,100,6000,4000,12.2,176,7.6,Painted or Changed
21,544500,Ford,Fiesta,2009,158000,Automatic,LPG & Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,128,1388,96,5750,4200,13.9,166,6.5,Painted or Changed
22,370000,Renault,Megane,2008,420000,Manual,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,200,1461,86,4000,1900,12.8,175,4.7,Painted or Changed
23,1385000,BMW,Other BMW,2018,87000,Automatic,Diesel,Other,Warrantless,Owner,Front-Wheel Drive,3,270,1496,116,4000,1750,10.6,195,4.0,Original
24,615000,BMW,Other BMW,2010,186000,Automatic,Gasoline,Hatchback,Warranted,Dealer,Rear-Wheel Drive,4,150,1596,116,6000,4300,10.8,200,7.5,Painted or Changed
25,515000,Ford,Fiesta,2010,183000,Manual,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,160,1398,70,4000,1750,14.9,162,4.2,Painted or Changed
26,842000,Ford,Focus,2017,200000,Semiautomatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,300,1499,120,3600,1750,10.9,193,4.2,Original
27,1110000,Audi,Other Audi,2016,100000,Semiautomatic,Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,3,200,999,116,5500,2000,9.9,206,4.5,Original
28,760000,Other,Other Other,2017,238000,Semiautomatic,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,250,1598,115,3250,1500,10.2,202,3.9,Original
29,465000,Other,Other Other,2011,168000,Manual,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,250,1598,105,4400,1500,11.8,190,4.5,Original
30,795000,Other,Other Other,2016,216000,Automatic,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,260,1582,128,4000,2750,10.9,190,5.5,Painted or Changed
31,589000,Renault,Fluence,2011,213000,Manual,LPG & Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,151,1598,110,6000,4250,11.7,183,6.5,Original
32,1110000,Opel,Other Opel,2017,91000,Automatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,320,1598,136,4000,2250,10.9,200,5.0,Original
33,517500,Volkswagen,Polo,2013,402000,Manual,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,230,1598,90,4200,2500,11.5,180,4.2,Original
34,178500,Ford,Other Ford,1994,10000,Manual,LPG & Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,140,1401,51,2500,1200,15.2,155,5.5,Original
35,197500,Renault,Other Renault,1991,10000,Manual,LPG & Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,140,1390,83,5750,3500,15.2,168,6.5,Original
36,177500,Other,Other Other,1990,340000,Manual,LPG & Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,140,1468,90,2500,1200,15.2,155,5.5,Original
37,699950,Volkswagen,Golf,2008,107000,Manual,Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,220,1390,140,5600,4000,8.8,205,7.1,Original
38,499950,Renault,Symbol,2011,110000,Manual,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,200,1461,85,3750,1750,12.3,177,4.3,Original
39,1269000,Honda,Civic,2020,48000,Automatic,LPG & Gasoline,Sedan,Warranted,Dealer,Front-Wheel Drive,4,152,1597,125,6500,4300,11.5,196,6.3,Painted or Changed
40,519000,Renault,Fluence,2012,239900,Semiautomatic,Diesel,Sedan,Warranted,Dealer,Front-Wheel Drive,4,240,1461,110,4000,2000,11.5,185,4.4,Original
41,729900,Ford,Focus,2013,129850,Manual,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,230,1560,95,3600,2000,12.5,180,4.2,Original
42,593000,Renault,Clio,2017,74000,Manual,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,220,1461,90,3750,1750,12.0,180,3.6,Painted or Changed
43,307000,Opel,Corsa,2004,391000,Manual,LPG & Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,110,1229,80,2500,1200,13.0,170,6.0,Original
44,335000,Renault,Clio,2005,183000,Manual,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,185,1461,80,3750,2000,12.7,171,4.8,Original
45,505000,Other,Other Other,2012,159000,Automatic,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,255,1582,115,4000,2750,12.8,180,5.6,Painted or Changed
46,1250000,BMW,3 Series,2008,240000,Automatic,Gasoline,Other,Warrantless,Dealer,Rear-Wheel Drive,4,210,1995,170,6200,3600,9.8,226,6.7,Painted or Changed
47,1935000,Peugeot,Other Peugeot,2022,16000,Automatic,Gasoline,Sedan,Warranted,Dealer,Front-Wheel Drive,4,300,1598,225,5500,1900,7.3,248,5.7,Original
48,813900,Ford,Focus,2016,99000,Manual,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,270,1560,115,3600,2500,10.9,180,4.5,Original
49,415000,Honda,Civic,2002,293000,Automatic,LPG & Gasoline,Sedan,Warrantless,Owner,Front-Wheel Drive,4,152,1590,110,6300,4800,11.3,192,7.0,Original
50,485000,Toyota,Corolla,2011,278000,Manual,LPG & Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,128,1329,99,6000,3800,13.1,180,5.9,Painted or Changed
51,977900,Ford,Other Ford,2015,188000,Automatic,Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,240,1498,160,6000,4000,9.1,214,6.3,Original
52,750000,Ford,Fiesta,2016,79400,Manual,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,185,1498,75,4000,1700,13.5,167,3.7,Original
53,601900,Renault,Clio,2013,101000,Manual,Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,105,1149,75,2500,1200,15.4,164,5.5,Original
54,522000,Other,Other Other,2012,210000,Manual,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,220,1461,90,4000,1750,11.8,167,4.0,Original
55,735000,Toyota,Corolla,2015,70000,Manual,Gasoline,Sedan,Warranted,Dealer,Front-Wheel Drive,4,128,1329,99,6000,3800,12.6,180,5.8,Painted or Changed
56,600000,Renault,Clio,2010,97200,Manual,Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,127,1390,100,5700,4200,11.3,183,6.7,Painted or Changed
57,1215000,Seat,Other Seat,2020,48000,Semiautomatic,Gasoline,Hatchback,Warranted,Dealer,Front-Wheel Drive,4,250,1498,150,5000,1500,8.3,213,5.1,Original
58,700000,Renault,Fluence,2013,178500,Automatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,240,1461,110,4000,2000,11.5,185,4.4,Original
59,300000,Mercedes - Benz,Other Mercedes - Benz,1988,412000,Manual,LPG & Gasoline,Sedan,Warrantless,Dealer,Rear-Wheel Drive,6,250,2599,166,2500,1200,13.6,175,5.5,Original
60,3070000,Mercedes - Benz,Other Mercedes - Benz,2017,139000,Automatic,Diesel,Sedan,Warrantless,Dealer,4WD (Continuous),4,400,1950,194,3800,1600,7.5,239,4.8,Original
61,433500,Hyundai,Other Hyundai,2009,301000,Manual,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,235,1493,110,4000,1900,11.5,176,4.6,Painted or Changed
62,3250000,BMW,5 Series,2021,70025,Automatic,Gasoline,Sedan,Warranted,Dealer,Rear-Wheel Drive,4,250,1597,170,6000,2000,8.3,226,7.1,Original
63,709000,Honda,Other Honda,2012,134000,Automatic,LPG & Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,127,1339,100,6000,4800,13.6,182,5.4,Painted or Changed
64,175000,Tofaş,Other Tofaş,1993,111111,Manual,LPG & Gasoline,Sedan,Warrantless,Dealer,Rear-Wheel Drive,4,122,1581,80,5500,3250,15.2,155,6.5,Painted or Changed
65,385000,Mercedes - Benz,Other Mercedes - Benz,1991,451000,Automatic,LPG & Gasoline,Sedan,Warrantless,Dealer,Rear-Wheel Drive,4,180,1801,126,2500,1200,15.2,155,5.5,Original
66,1165000,BMW,Other BMW,2018,146000,Automatic,Diesel,Hatchback,Warrantless,Dealer,Rear-Wheel Drive,3,270,1496,116,4000,1750,10.3,200,3.9,Original
67,410000,Volkswagen,Passat,2004,350000,Manual,LPG & Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,148,1595,102,2500,1200,12.7,192,7.7,Original
68,505000,Opel,Corsa,2008,149000,Automatic,LPG & Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,125,1364,90,2500,1200,12.4,173,6.2,Original
69,865000,Honda,Civic,2017,165000,Semiautomatic,LPG & Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,152,1597,125,6500,4300,11.6,196,6.7,Original
70,495000,Ford,Fiesta,2012,154000,Manual,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,160,1398,70,4000,1750,14.9,162,4.2,Painted or Changed
71,905000,Toyota,Corolla,2018,153000,Automatic,Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,160,1598,132,6400,4400,11.1,190,6.1,Original
72,655000,Opel,Astra,2016,203000,Manual,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,320,1598,136,3500,2000,11.6,200,5.1,Painted or Changed
73,539900,Renault,Megane,2010,244274,Manual,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,240,1461,105,4000,2000,10.9,190,4.5,Original
74,1420000,Volkswagen,Passat,2019,67000,Semiautomatic,Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,250,1498,150,5000,1500,8.6,213,5.3,Original
75,665000,Fiat,Egea,2018,14000,Manual,Gasoline,Sedan,Warranted,Dealer,Front-Wheel Drive,4,127,1368,95,6000,4500,11.5,185,5.7,Original
76,1398000,BMW,3 Series,2014,139500,Automatic,Gasoline,Sedan,Warrantless,Dealer,Rear-Wheel Drive,4,250,1598,170,4800,1500,7.6,230,5.3,Original
77,669000,Renault,Clio,2019,30500,Manual,Gasoline,Hatchback,Warranted,Dealer,Front-Wheel Drive,3,140,898,90,5000,2500,12.9,178,5.0,Original
78,694000,Renault,Clio,2019,19950,Manual,Gasoline,Hatchback,Warranted,Dealer,Front-Wheel Drive,3,140,898,90,5000,2500,12.9,178,5.0,Original
79,1550000,BMW,5 Series,2012,215000,Automatic,Diesel,Sedan,Warrantless,Dealer,Rear-Wheel Drive,4,380,1995,184,4000,2750,8.1,225,5.2,Original
80,830000,BMW,Other BMW,2005,367000,Automatic,Diesel,Sedan,Warrantless,Dealer,Rear-Wheel Drive,6,520,2993,231,4000,2750,7.8,238,8.2,Original
81,1100950,Audi,Other Audi,2010,262000,Automatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,350,1968,170,4000,1750,8.9,218,6.2,Original
82,1110950,Volkswagen,Passat,2016,323000,Semiautomatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,250,1598,120,4000,1750,10.8,206,4.0,Original
83,715000,Volkswagen,Polo,2014,159000,Semiautomatic,Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,160,1197,90,4800,1400,10.8,184,4.7,Painted or Changed
84,337500,Opel,Corsa,1996,285000,Automatic,LPG & Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,120,1388,90,2500,1200,12.5,180,5.5,Painted or Changed
85,570000,Renault,Fluence,2014,215000,Semiautomatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,240,1461,110,4000,2000,11.5,185,4.4,Original
86,1615000,Mercedes - Benz,Other Mercedes - Benz,2014,143700,Automatic,Gasoline,Sedan,Warrantless,Dealer,Rear-Wheel Drive,4,250,1595,156,5300,4000,8.5,223,5.8,Original
87,1265000,Other,Other Other,2015,197500,Semiautomatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,250,1598,105,4400,1500,12.2,193,4.6,Original
88,685500,Renault,Fluence,2014,194000,Semiautomatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,240,1461,110,4000,2000,11.5,185,4.4,Painted or Changed
89,1395000,Volkswagen,Passat,2015,172000,Automatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,250,1598,105,4400,2500,12.2,193,4.7,Original
90,1475000,Volkswagen,Passat,2016,174000,Automatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,250,1598,105,4400,2500,12.2,193,4.7,Original
91,402500,Renault,Clio,2011,190000,Manual,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,160,1461,70,4000,1700,15.2,162,4.5,Painted or Changed
92,745000,Fiat,Egea,2021,22000,Manual,Gasoline,Sedan,Warranted,Dealer,Front-Wheel Drive,4,127,1368,95,6000,4500,11.5,185,5.7,Original
93,537000,Hyundai,Other Hyundai,2011,232000,Automatic,LPG & Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,125,1399,97,6000,4700,14.5,168,7.6,Original
94,920000,Renault,Megane,2018,77000,Semiautomatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,250,1461,110,4000,1750,12.5,190,3.8,Painted or Changed
95,275000,Renault,Megane,2001,229000,Manual,Gasoline,Other,Warrantless,Dealer,Front-Wheel Drive,4,148,1598,107,2500,1200,9.6,198,6.9,Original
96,1150000,Seat,Other Seat,2018,72700,Semiautomatic,Gasoline,Hatchback,Warranted,Dealer,Front-Wheel Drive,4,175,1197,110,4600,1400,10.2,191,4.9,Original
97,341750,Ford,Fiesta,2008,345000,Manual,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,160,1399,68,4000,2000,15.0,164,4.3,Original
98,835000,Hyundai,Other Hyundai,2015,135000,Automatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,280,1582,136,4000,1900,11.5,190,5.8,Painted or Changed
99,875000,Hyundai,Other Hyundai,2017,180000,Semiautomatic,Diesel,Sedan,Warranted,Dealer,Front-Wheel Drive,4,300,1582,136,4000,1900,11.0,200,4.1,Original
100,485000,Opel,Corsa,2007,278000,Automatic,LPG & Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,125,1364,90,2500,1200,12.4,173,6.2,Original
101,935000,Toyota,Corolla,2017,145000,Semiautomatic,Diesel,Sedan,Warranted,Dealer,Front-Wheel Drive,4,205,1364,90,3800,1800,14.7,180,4.1,Painted or Changed
102,850000,Renault,Megane,2017,200000,Semiautomatic,Diesel,Sedan,Warranted,Dealer,Front-Wheel Drive,4,250,1461,110,4000,1750,12.5,190,3.8,Painted or Changed
103,952000,Opel,Astra,2016,163000,Automatic,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,320,1598,136,3500,2000,9.7,205,4.6,Original
104,280000,Other,Other Other,1997,214000,Automatic,LPG & Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,103,1275,75,2500,1200,12.0,170,6.2,Original
105,1110000,Renault,Megane,2017,75000,Semiautomatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,250,1461,110,4000,1750,12.5,190,3.8,Original
106,2320000,Mercedes - Benz,Other Mercedes - Benz,2014,160000,Automatic,Diesel,Sedan,Warrantless,Dealer,4WD (Continuous),4,500,2143,204,3800,1800,7.9,238,5.7,Original
107,875000,Opel,Astra,2017,52000,Manual,LPG & Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,155,1598,115,6000,4000,11.9,193,6.5,Original
108,613900,Renault,Fluence,2015,170000,Automatic,Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,156,1598,115,6000,4250,11.9,175,6.3,Original
109,1125000,Volkswagen,Passat,2015,205000,Semiautomatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,250,1598,120,4000,1750,10.8,206,4.0,Painted or Changed
110,550000,Fiat,Linea,2016,110000,Manual,Diesel,Sedan,Warranted,Dealer,Front-Wheel Drive,4,200,1248,95,4000,1500,13.8,170,4.9,Original
111,628000,Seat,Other Seat,2017,137000,Manual,Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,160,1197,90,5400,1400,10.7,184,4.9,Painted or Changed
112,585000,Renault,Symbol,2016,81000,Manual,Diesel,Sedan,Warranted,Dealer,Front-Wheel Drive,4,220,1461,90,4000,1750,12.2,167,3.9,Original
113,470000,Opel,Corsa,2014,215000,Manual,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,190,1248,75,4000,1750,14.9,163,4.2,Painted or Changed
114,335000,Seat,Other Seat,2004,268000,Manual,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,240,1896,100,2500,1200,11.1,192,4.9,Painted or Changed
115,192500,Tofaş,Other Tofaş,1994,50000,Manual,LPG & Gasoline,Other,Warrantless,Dealer,Rear-Wheel Drive,4,131,1581,83,5800,3250,15.2,168,6.5,Original
116,799000,Volkswagen,Golf,2013,146000,Manual,Gasoline,Hatchback,Warranted,Dealer,Front-Wheel Drive,4,175,1197,105,5000,1550,10.2,192,4.9,Original
117,1355000,Other,Other Other,2018,110000,Semiautomatic,Diesel,Sedan,Warranted,Dealer,Front-Wheel Drive,4,250,1598,120,3500,1500,11.0,206,4.1,Original
118,730000,Ford,Focus,2015,240000,Manual,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,230,1560,95,3600,1500,12.6,182,4.5,Painted or Changed
119,924900,Renault,Megane,2017,148000,Semiautomatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,250,1461,110,4000,1750,12.5,190,3.8,Original
120,715900,Other,Other Other,2021,56200,Manual,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,250,1499,100,3500,1750,10.1,189,3.9,Original
121,1410000,Volkswagen,Passat,2018,132000,Semiautomatic,Diesel,Sedan,Warranted,Dealer,Front-Wheel Drive,4,250,1598,120,4000,1500,10.8,206,4.0,Original
122,635000,Opel,Astra,2010,170000,Manual,LPG & Gasoline,Hatchback,Warrantless,Owner,Front-Wheel Drive,4,155,1598,115,2500,1200,11.7,188,6.3,Original
123,668900,Renault,Clio,2017,198000,Semiautomatic,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,220,1461,90,4000,1750,12.9,176,3.7,Painted or Changed
124,1798000,Mercedes - Benz,Other Mercedes - Benz,2017,120000,Automatic,Gasoline,Other,Warrantless,Dealer,Rear-Wheel Drive,4,250,1595,156,5300,1250,8.8,226,5.9,Original
125,763000,Other,Other Other,2018,13000,Automatic,Gasoline,Hatchback,Warranted,Dealer,Front-Wheel Drive,3,110,1198,80,6000,4000,14.5,161,5.4,Painted or Changed
126,1195000,Opel,Other Opel,2017,84000,Automatic,Diesel,Sedan,Warranted,Dealer,Front-Wheel Drive,4,320,1598,136,4000,2250,10.9,200,5.0,Original
127,782000,Other,Other Other,2015,115000,Manual,Diesel,Hatchback,Warranted,Dealer,Front-Wheel Drive,4,320,1598,105,4000,1750,11.3,185,4.4,Painted or Changed
128,495000,Volkswagen,Polo,2011,215000,Manual,Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,3,112,1198,70,5400,3000,14.1,165,5.5,Painted or Changed
129,1035000,BMW,3 Series,2014,152000,Automatic,Gasoline,Sedan,Warrantless,Dealer,Rear-Wheel Drive,4,220,1598,136,4350,1350,9.2,210,5.8,Original
130,935000,Renault,Megane,2019,48000,Manual,Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,240,1332,140,5000,1600,9.7,205,5.5,Original
131,2149750,BMW,3 Series,2019,76960,Automatic,Gasoline,Sedan,Warrantless,Dealer,Rear-Wheel Drive,4,250,1597,170,5000,2000,7.7,232,6.0,Original
132,27400000,Mercedes - Benz,Other Mercedes - Benz,2023,0,Automatic,Gasoline,Sedan,Warranted,Authorized Dealer,4WD (Continuous),8,700,3982,469,5500,2000,4.9,250,9.3,Original
133,372500,Other,Other Other,2011,230000,Manual,LPG & Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,114,1206,84,6000,4400,12.8,170,5.5,Original
134,657000,Fiat,Egea,2017,164000,Manual,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,200,1248,95,3750,1500,11.7,183,4.1,Painted or Changed
135,455000,Opel,Corsa,2004,257000,Automatic,LPG & Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,125,1389,90,2500,1200,13.0,170,7.9,Original
136,415000,Hyundai,Other Hyundai,2001,201000,Manual,LPG & Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,143,1599,107,5800,3000,11.0,182,7.4,Painted or Changed
137,1094750,Renault,Megane,2019,56231,Semiautomatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,260,1461,115,3750,2000,10.8,197,4.2,Original
138,1099750,Renault,Megane,2019,56159,Semiautomatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,260,1461,115,3750,2000,10.8,197,4.2,Original
139,999950,Renault,Megane,2019,79675,Semiautomatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,260,1461,115,3750,2000,10.8,197,4.2,Painted or Changed
140,733000,Other,Other Other,2018,123000,Manual,Diesel,Hatchback,Warrantless,Owner,Front-Wheel Drive,4,220,1461,90,4000,1750,11.8,167,4.0,Original
141,1069750,Renault,Megane,2019,71111,Semiautomatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,260,1461,115,3750,2000,10.8,197,4.2,Original
142,1096750,Renault,Megane,2020,59550,Semiautomatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,260,1461,115,3750,2000,10.8,197,4.2,Original
143,675000,Opel,Astra,2010,205000,Automatic,Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,155,1598,115,6000,4000,13.3,182,7.1,Painted or Changed
144,980000,Renault,Megane,2018,58000,Semiautomatic,Diesel,Hatchback,Warranted,Owner,Front-Wheel Drive,4,250,1461,110,4000,1750,12.3,187,3.7,Original
145,639900,Other,Other Other,2014,108000,Manual,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,220,1461,90,4000,1750,11.8,167,4.0,Original
146,512900,Honda,Civic,2008,255000,Automatic,LPG & Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,152,1595,125,6500,4200,10.3,192,7.1,Painted or Changed
147,379900,Ford,Fiesta,2007,259000,Manual,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,160,1399,68,4000,2000,15.0,164,4.3,Original
148,210000,Tofaş,Other Tofaş,1994,89000,Manual,LPG & Gasoline,Sedan,Warranted,Dealer,Rear-Wheel Drive,4,125,1581,83,5800,3000,13.2,170,6.5,Original
149,580000,Renault,Fluence,2013,200000,Manual,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,200,1461,90,4000,1750,13.0,180,4.5,Painted or Changed
150,275000,Tofaş,Other Tofaş,1994,300000,Manual,LPG & Gasoline,Sedan,Warranted,Dealer,Rear-Wheel Drive,4,122,1581,51,5500,3250,15.2,155,6.5,Original
151,1750000,Volkswagen,Passat,2020,71000,Semiautomatic,Gasoline,Sedan,Warranted,Dealer,Front-Wheel Drive,4,250,1498,150,5000,1500,8.6,213,5.3,Original
152,2750000,Other,Other Other,2019,174500,Automatic,LPG & Gasoline,Sedan,Warranted,Dealer,Front-Wheel Drive,4,221,2494,178,5700,3600,10.2,180,4.7,Painted or Changed
